"","quantity","education","cohort","age","income"
"275","90th percentile","College Degree",1940,39,137072.034443169
"276","90th percentile","Less than College",1940,39,96756.730195178
"277","90th percentile","College Degree",1940,40,138526.256322072
"278","90th percentile","Less than College",1940,40,88798.8822577382
"279","90th percentile","College Degree",1940,41,138373.267045455
"280","90th percentile","Less than College",1940,41,84484.9244886364
"281","90th percentile","College Degree",1940,42,145502.610497238
"282","90th percentile","Less than College",1940,42,90939.1315607735
"283","90th percentile","College Degree",1940,43,161615.451882845
"284","90th percentile","Less than College",1940,43,96969.2711297071
"285","90th percentile","College Degree",1940,44,154851.238774856
"286","90th percentile","Less than College",1940,44,98541.6974021809
"287","90th percentile","College Degree",1940,45,195806.486988848
"288","90th percentile","Less than College",1940,45,100622.778035936
"289","90th percentile","College Degree",1950,30,104782.681064131
"290","90th percentile","Less than College",1950,30,81694.9716771192
"291","90th percentile","College Degree",1950,31,98148.4801136364
"292","90th percentile","Less than College",1950,31,77231.5909090909
"293","90th percentile","College Degree",1950,32,112158.262258287
"294","90th percentile","Less than College",1950,32,75782.6096339779
"295","90th percentile","College Degree",1950,33,135169.287029289
"296","90th percentile","Less than College",1950,33,88153.8828451883
"297","90th percentile","College Degree",1950,34,121065.513951251
"298","90th percentile","Less than College",1950,34,84464.3120590122
"299","90th percentile","College Degree",1950,35,130537.657992565
"300","90th percentile","Less than College",1950,35,87025.1053283767
"301","90th percentile","College Degree",1950,36,138719.194712452
"302","90th percentile","Less than College",1950,36,96036.3655701588
"303","90th percentile","College Degree",1950,37,141653.560950565
"304","90th percentile","Less than College",1950,37,92718.6944403697
"305","90th percentile","College Degree",1950,38,155213.938397802
"306","90th percentile","Less than College",1950,38,94015.0736278447
"307","90th percentile","College Degree",1950,39,141657.890136489
"308","90th percentile","Less than College",1950,39,94438.593424326
"309","90th percentile","College Degree",1950,40,163490.528094904
"310","90th percentile","Less than College",1950,40,89583.8510109063
"311","90th percentile","College Degree",1950,41,167621.856793146
"312","90th percentile","Less than College",1950,41,92406.9210526316
"313","90th percentile","College Degree",1950,42,181444.010809527
"314","90th percentile","Less than College",1950,42,93850.3504187207
"315","90th percentile","College Degree",1950,43,172160.324738998
"316","90th percentile","Less than College",1950,43,93169.1169175751
"317","90th percentile","College Degree",1950,44,163856.428290324
"318","90th percentile","Less than College",1950,44,98708.6917411593
"319","90th percentile","College Degree",1950,45,153624.105873346
"320","90th percentile","Less than College",1950,45,103696.271464508
"321","90th percentile","College Degree",1960,30,111979.813763633
"322","90th percentile","Less than College",1960,30,78385.869634543
"323","90th percentile","College Degree",1960,31,118194.899020808
"324","90th percentile","Less than College",1960,31,77363.9339045288
"325","90th percentile","College Degree",1960,32,135561.617271485
"326","90th percentile","Less than College",1960,32,79251.407020253
"327","90th percentile","College Degree",1960,33,141779.090961527
"328","90th percentile","Less than College",1960,33,78991.2078214224
"329","90th percentile","College Degree",1960,34,148063.037611739
"330","90th percentile","Less than College",1960,34,80941.1272277506
"331","90th percentile","College Degree",1960,35,172827.119107514
"332","90th percentile","Less than College",1960,35,90254.1622005906
"333","90th percentile","College Degree",1960,36,154837.926472932
"334","90th percentile","Less than College",1960,36,88612.0663549912
"335","90th percentile","College Degree",1960,37,156769.879042724
"336","90th percentile","Less than College",1960,37,87499.4673726834
"337","90th percentile","College Degree",1960,38,179513.470681458
"338","90th percentile","Less than College",1960,38,89756.735340729
"339","90th percentile","College Degree",1960,39,184444.029514757
"340","90th percentile","Less than College",1960,39,93100.3196598299
"341","90th percentile","College Degree",1960,40,161442.66805401
"342","90th percentile","Less than College",1960,40,96525.7215312394
"343","90th percentile","College Degree",1960,41,201646.733819722
"344","90th percentile","Less than College",1960,41,99170.5248293716
"345","90th percentile","College Degree",1960,42,180583.947831727
"346","90th percentile","Less than College",1960,42,99239.827186805
"347","90th percentile","College Degree",1960,43,206743.745471014
"348","90th percentile","Less than College",1960,43,95420.1902173913
"349","90th percentile","College Degree",1960,44,213764.124575411
"350","90th percentile","Less than College",1960,44,92940.9237284397
"351","90th percentile","College Degree",1960,45,179829.105496757
"352","90th percentile","Less than College",1960,45,103401.735660635
"353","90th percentile","College Degree",1970,30,124055.944925713
"354","90th percentile","Less than College",1970,30,79871.635774089
"355","90th percentile","College Degree",1970,31,132227.366439162
"356","90th percentile","Less than College",1970,31,82642.1040244763
"357","90th percentile","College Degree",1970,32,143165.652335063
"358","90th percentile","Less than College",1970,32,86224.7678836175
"359","90th percentile","College Degree",1970,33,159033.650362319
"360","90th percentile","Less than College",1970,33,84287.834692029
"361","90th percentile","College Degree",1970,34,159548.585733822
"362","90th percentile","Less than College",1970,34,92940.9237284397
"363","90th percentile","College Degree",1970,35,187321.984892455
"364","90th percentile","Less than College",1970,35,89914.5527483783
